State,Active Loans,Average Borrower Gross Income,Very Low Income,Low Income,Moderate Income,Average Debt Ratio,"American Indian/
Alaskan Native",Asian,"Black/
African-America",Hawaiian/Pacific Islander,White,Hispanic,Married,Average No of Depend,Average Hshld Size,First Time Home Buyer,Average Borrower Age,Disability,PUD,Condo,Coop,Unknown  HSG Proj Type,Detached Structure,Attached Structure,Unknown Stucture,Manufactured Homes,Average Living Area (Square Ft),Average Request Amount,Average Loan Amount,Average LTV,Average Appraised Value,Unknown Income
AK,2926,72337.58,131,954,1674,0,187,132,19,24,2578,118,1456,0.9,2.3,2325,37,10,151,89,3,2683,2405,124,397,0,1314,194095.12,188640.94,0.98,194897.5,167
AL,25101,51622.26375,635,3303,20806,0,73,101,3627,42,21304,552,10943,0.6,1.9625,20843,37.125,146,3396,9,12,21684,23863,265,973,2,1542.125,122957.3775,122384.8038,0.98875,123834.0075,357
AR,28432,47533.2275,1087,5415,21437,0,123,159,2072,47,26059,1275,13917,0.775,2.25,22623,38,230,1695,6,13,26718,25656,931,1845,0,1495.75,105420.4775,104734.8425,0.9825,107028.06,493
AZ,15689,50350.17111,1303,5160,8931,0,187,183,431,56,14838,5781,7470,1.033333333,2.522222222,13289,41,139,7495,12,4,8178,15128,125,436,7,1825.888889,143282.6811,141465.9744,0.993333333,143505.3156,295
CA,22989,66820.89167,1401,5714,15639,0,312,405,365,107,21860,9866,11819,1.206666667,2.833333333,20916,40.96666667,153,1538,238,6,21207,22200,434,355,1,1530.733333,222379.8573,217652.8357,0.991333333,222387.0977,235
CO,9325,61078.39167,333,1765,7005,0,50,86,29,13,9100,1193,4775,1,2.6,7326,38,38,2456,389,7,6473,7939,828,558,6,1445,187631.07,183261.7183,0.998333333,187386.0217,222
CT,4501,74493.214,56,657,3773,0,8,35,62,6,4396,193,1724,0.8,2.38,3867,38.6,5,35,219,2,4245,4112,247,142,0,1399.8,202844.486,202690.944,0.98,203488.954,15
DE,4167,57610.15,143,895,3090,0,14,50,673,12,3436,194,1422,0.5,1.75,3594,31.5,15,1119,115,1,2932,3379,667,121,12,1684,176924.96,176516.525,1,176446.955,39
FL,38887,53466.86045,1243,6745,30283,0,117,439,3888,142,34334,6161,17612,0.840909091,2.336363636,32898,40.22727273,256,13046,250,2,25589,35379,1677,1831,0,1649.136364,134512.1327,133628.2564,0.976818182,136628.1186,616
GA,28590,52582.83786,2130,7678,18133,0.071428571,56,185,3283,53,25065,1118,13605,0.857142857,2.314285714,24146,37.71428571,157,4586,23,16,23965,26983,389,1218,1,1807.142857,129367.83,125436.9771,0.964285714,128751.2807,649
HI,4399,85906.42,117,1005,3184,0,97,1869,55,1491,1410,280,2548,1.15,3.2,3751,41.5,35,924,1597,0,1878,2894,1321,184,0,1181.5,331333.66,328488.09,0.995,331394.76,93
IA,15687,56414.316,663,4012,10637,0,24,127,89,24,15431,581,5835,1.12,2.64,12848,37.6,78,63,207,3,15414,13896,541,1250,0,1478.8,123147.906,122189.082,0.982,124524.644,375
ID,9782,50290.85,493,2393,6764,0,81,53,17,21,9602,971,5324,1.05,2.55,7693,37.5,78,1961,44,3,7774,9128,271,383,1,1386.5,139237.89,138392.94,0.975,138152.21,132
IL,33649,49915.98688,2274,9268,21320,0,61,73,351,20,33166,819,12443,0.81875,2.275,26180,36.73333333,143,376,86,14,33173,30097,597,2955,0,1403.4375,101433.63,101010.8544,0.991875,102379.5706,787
IN,32940,50716.455,2043,8523,21843,0,40,82,268,23,32482,728,13540,0.69,2.09,26208,37.22222222,207,2298,45,22,30575,31427,286,1227,0,1536.3,109355.645,106919.204,0.993,109201.982,531
KS,12293,53540.4325,869,3921,7298,0,94,49,165,15,11965,695,5765,0.95,2.525,9568,37,41,557,2,1,11733,11301,219,773,0,1348.5,107663.325,107079.2625,0.985,107791.43,205
KY,27206,50694.95333,1052,4755,20858,0,25,77,634,23,26352,384,12535,0.566666667,1.8,21010,37.83333333,268,1049,192,5,25960,24324,383,2499,8,1406.333333,115309.8833,114577.085,0.973333333,115702.135,541
LA,36128,52230.51571,391,2676,32668,0,110,162,7261,64,28616,671,12768,0.728571429,2.171428571,30625,36.83333333,99,2556,92,15,33465,34429,419,1280,91,1576,138053.89,137444.4871,0.99,139449.2329,393
MA,6078,74095.77625,190,1337,4420,0,15,37,114,6,5924,199,2462,0.8,2.375,5138,37.75,34,31,416,0,5631,5514,407,157,0,1311.875,214787.6788,213544.2913,0.98875,215846.755,131
MD,14134,68913.46778,561,2984,10412,0,42,123,1557,33,12438,306,5069,0.688888889,2.133333333,11959,35.75,41,3336,451,2,10345,11491,2130,513,4,1440.111111,216072.5378,214532.9389,0.988888889,218226.8756,177
ME,14570,52566.21,217,4209,9686,0,39,74,52,13,14410,130,5633,0.65,2.15,12310,37.5,120,85,295,0,14190,13009,313,1248,1,1323.5,134709.725,132788.285,0.965,137972.74,458
MI,46955,54295.39071,2752,15316,28140,0,173,114,396,34,46267,827,19235,0.871428571,2.307142857,37805,36.75,228,465,928,1,45561,43310,739,2906,0,1394.071429,119573.3993,119164.2264,0.926428571,115071.6721,747
MN,27645,52333.1925,2851,7683,16382,0,118,192,113,33,27194,800,10082,1.2,2.744444444,21565,35.5,130,552,119,2,26972,24312,832,2501,0,1247.5,127641.1588,123017.9667,0.95625,128172.7488,729
MO,35128,48419.3225,1366,7941,25158,0,92,108,435,47,34458,867,16374,1.0375,2.65,27293,38.375,263,2534,97,8,32489,32671,600,1857,2,1348.75,109397.0588,107744.2925,0.9725,109685.8612,663
MS,20364,50279.26,341,2718,17136,0,35,82,5569,23,14660,330,8905,0.825,2.225,16474,38.5,120,1456,17,6,18885,18974,488,902,0,1614.75,118683.82,118342.0825,0.9725,121390.955,169
MT,8134,61859.56,276,1652,6018,0,118,32,17,6,7971,133,4012,0.4,1.65,6262,38,67,498,213,8,7415,7015,436,683,2,1476,128657.655,127673.645,0.965,133290.81,188
NC,47023,52671.27143,1386,9550,35336,0,270,398,5766,118,40562,2137,20771,0.7,2.185714286,38385,38.21428571,240,9894,240,7,36882,43653,1760,1610,77,1579.928571,134035.335,133168.5471,0.980714286,135714.1571,751
ND,2795,45025.025,118,704,1883,0,27,12,10,2,2746,31,1078,0.35,2.55,2304,44,13,15,17,0,2763,2355,158,282,0,1052.5,96048.635,94768.33,1,96199.265,90
NE,8586,54030.39,264,1883,6085,0,43,69,23,5,8377,895,3910,0.833333333,2.233333333,7136,35.66666667,38,66,1,1,8518,7435,57,1094,0,1319,109755.4633,108627.03,0.983333333,111403.8367,354
NH,6055,65806.845,6,196,5786,0,12,23,34,8,5988,62,2699,0.5,1.7,5055,37,25,76,403,4,5572,5491,362,202,0,1406,167299.03,166368.82,0.98,170303.13,67
NJ,7556,71054.02444,157,1509,5771,0,16,83,648,17,6809,522,2720,0.7,2.055555556,6490,39.44444444,31,758,859,2,5937,6053,1332,171,0,1420.222222,197391.6878,196062.4078,0.984444444,199453.81,119
NM,2911,50676.32,97,522,2138,0,158,62,20,8,2606,1245,1236,0.9,2.3,2271,38.66666667,16,344,8,3,2556,2266,212,433,15,1507.666667,135316.1267,131626.1867,0.973333333,137189.4667,154
NV,3785,57196.25,202,842,2697,0,40,36,22,20,3688,515,1840,1,2.633333333,3144,42.66666667,23,889,13,2,2881,3606,119,60,15,1548.666667,158658.9967,157075.4233,0.97,155448.4633,44
NY,14445,60292.02231,231,4002,9742,0,38,65,149,9,14166,245,5629,0.746153846,2.215384615,12358,36.33333333,63,144,55,0,14246,13303,280,862,4,1399.692308,146554.5462,144430.1938,0.985384615,148029.9669,470
OH,32621,51978.746,2676,10662,18714,0,54,69,315,23,32194,508,13930,0.85625,2.33125,26861,37.86666667,149,1092,331,4,31194,30347,385,1889,0,1453.8,109791.2007,106638.7562,0.98,110217.9073,569
OK,18385,47731.64167,442,3198,14520,0,1626,159,322,53,16357,804,9208,0.75,1.95,14434,37.8,175,1936,3,7,16439,16934,397,1054,0,1425.666667,102289.575,101819.5867,0.988333333,103390.0533,225
OR,16075,58274.856,427,2718,12792,0,179,120,59,74,15686,1401,8394,0.92,2.5,13599,38.8,146,1271,144,4,14656,15007,473,595,7,1387.2,174101.388,173598.23,0.978,171381.474,138
PA,32895,59768.60167,1026,8353,23076,0,38,120,424,28,32317,757,13258,0.7,2.205555556,28255,37,181,2772,529,1,29593,26905,4648,1342,0,1509.555556,145157.2339,144232.3533,0.986666667,145916.6233,440
PR,25017,32559.376,69,1445,22450,0.2,56,181,348,5,23412,24446,8522,0.46,1.78,21883,42.4,102,2780,648,8,21581,21398,867,2752,21,1089.8,116766.38,115454.684,0.966,121477.814,1053
RI,960,67131.42,21,204,712,0,2,6,7,1,944,15,362,0.75,2.2,807,38,3,9,65,0,886,882,52,26,0,1295,203465.05,201352.66,0.99,204708.34,23
SC,24419,51431.35,471,5428,18131,0,47,161,4291,34,19894,713,10044,0.728571429,2.157142857,20024,38.14285714,153,7411,57,4,16947,22900,589,930,30,1691.285714,132988.18,131933.3486,0.982857143,134822.7786,389
SD,9907,47714.355,230,2561,6821,0,135,51,41,13,9678,160,4008,0.95,2.425,7964,43.66666667,57,215,26,4,9662,8662,174,1071,1,1175.5,94374.275,93874.44,0.98,95836.555,295
TN,39730,49475.03,853,8635,29556,0,70,114,1716,40,37749,751,18749,0.577777778,1.844444444,31458,37.44444444,244,1422,84,62,38162,37449,400,1881,4,1496,119969.4278,118694.9922,0.982222222,121940.9111,686
TX,42533,57401.23583,893,5905,35170,0,287,497,3470,107,38202,11451,20184,1.047222222,2.555555556,36720,38.22222222,227,17677,220,22,24614,40259,1297,977,13,1733.75,138653.2544,137326.1033,0.998055556,138764.8339,565
UT,12397,58288.7475,290,3271,8719,0,67,57,35,59,12200,653,8981,1.425,3.2,9073,35.75,51,1987,354,7,10049,10809,1292,296,3,1421,175923.935,175271.855,0.9525,169453.205,117
VA,24586,58500.21455,984,6662,16582,0,53,124,2167,48,22250,702,10121,0.590909091,1.945454545,20618,37.36363636,119,3399,406,3,20778,21614,1977,995,17,1547.181818,175267.9509,174192.2055,0.976363636,178718.8864,358
VI,196,54145.11667,0,0,141,0,0,4,177,0,12,13,68,0.65,1.325,136,49,0,40,2,0,154,60,12,124,0,1238.666667,124537.4967,113486.1,0.866666667,146234.4567,55
